English	Japanese	Source	SourceKind	DsdType
"...Jarl of Windhelm and true High King of Skyrim."	「…ウィンドヘルムの首長とスカイリムの真の上級王に」	skyrim_taiyaku_250627	reference	Reference FULL
"...and unwavering obedience to the officers of his great Empire."	「…そして偉大なる帝国の将校達に揺るぎない忠誠を」	skyrim_taiyaku_250627	reference	Reference FULL
"...even to my lord as to my fellow brothers and sisters in arms."	「同胞と共に、主君に忠誠を捧げる事を誓う」	skyrim_taiyaku_250627	reference	Reference FULL
"Accidentally dropped this"	" うっかり落としてしまいました "	skyrim_taiyaku_250627	reference	Reference FULL
"All hail the Stormcloaks, the true sons and daughters of Skyrim!"	「真のスカイリムの民、ストームクロークを称えよ！」	skyrim_taiyaku_250627	reference	Reference FULL
"As Talos is my witness, may this oath bind me to death and beyond..."	「タロスを我が証人とし、たとえ肉体が滅びようとも…」	skyrim_taiyaku_250627	reference	Reference FULL
"Bent a few folks' arms the wrong way"?	“虐げられた者達がいた”だって？	skyrim_taiyaku_250627	reference	Reference FULL
"Blood and silver are what flows through Markarth...." –– popular saying	" マルカルスには血と銀が流れている " ――地元のことわざ	skyrim_taiyaku_250627	reference	Reference FULL
"But our brethren, the Dwemer, scorned the Daedra, and mocked our foolish rituals, and preferred instead their gods of Reason and Logic." –– Vivec	" だが我らの同朋であるドゥーマーはデイドラをあざけり、我らの儀式を愚行と罵り、理性と論理の神を崇めることを選んだのだった。 " ――ヴィベク	skyrim_taiyaku_250627	reference	Reference FULL
"Can I have that armor?"	" 鎧が欲しいのですが "	skyrim_taiyaku_250627	reference	Reference FULL
"Did you find something good?"	" 何かいい物でも見つけたんですか？ "	skyrim_taiyaku_250627	reference	Reference FULL
"Dimwits"? What happened?	“馬鹿ども”？ 何があったんだ？	skyrim_taiyaku_250627	reference	Reference FULL
"End of Days"? I don't think things are quite that bad.	" 世界の終わり " ？ そこまで深刻な状況とは思えない	skyrim_taiyaku_250627	reference	Reference FULL
"Honor" is a coward's tool.	“名誉”など臆病者の言い訳だ	skyrim_taiyaku_250627	reference	Reference FULL
"I am the Queen of Solitude, daughter of the Emperor! Summon the daedra! I'll trade the soul of every last subject of mine for a little comfort." –– Queen Potema, 3E 97	" 私はソリチュードの女王なの、皇帝の娘なの！ デイドラを召喚しなさい！ ひとときの安らぎを得るためなら、家来の魂をひとつ残らず売ってやるわ！ " ――ポテマ女王 第三紀97年	skyrim_taiyaku_250627	reference	Reference FULL
"I do swear my blood and honor to the service of Ulfric Stormcloak..."	「血と魂をウルフリック・ストームクロークに捧げる…」	skyrim_taiyaku_250627	reference	Reference FULL
"I'll do"? What are you talking about?	" やれるだろう " ？ 一体どういう意味だ？	skyrim_taiyaku_250627	reference	Reference FULL
"Just throw trash"	" ゴミ箱にでも捨ててください "	skyrim_taiyaku_250627	reference	Reference FULL
"Long live the Emperor! Long live the Empire!"	「皇帝万歳！ 帝国万歳！」	skyrim_taiyaku_250627	reference	Reference FULL
"Maw unleashing razor snow, Of dragons from the blue brought down, Births the walking winter's woe, The High King in his Jagged Crown." –– Ancient Nord Verse	" 吹雪を吐き出す青き竜を制し、ここに凍れる冬を往くは、尖った王冠を頂きし上級王なり " ――古代から伝わるノルドの詩	skyrim_taiyaku_250627	reference	Reference FULL
"May those above judge me, and those below take me, if I fail in my duty."	「もし与えられた義務を怠れば、神の審判を受け、地獄へ落とされん事を」	skyrim_taiyaku_250627	reference	Reference FULL
