maid	メイド
royal	ロイヤル
umber	アンバー
pauldrons	肩当て
pauldron	肩当て
stockings	ストッキング
stocking	ストッキング
thighband	太もものバンド
vambraces	前腕当て
corset	コルセット
matte	マット
templar	テンプラー
scythe	大鎌
greatsword	グレートソード
greatswords	グレートソード
metallic	メタリック
pants	パンツ
bronze	青銅
twinblade	ツインブレード
anklets	アンクレット
child	子供
chaos	混沌
katana	刀
wakizashi	脇差
tanto	短刀
dai-katana	大刀
colossal	巨大
debuff	デバフ
stahlrim	スタルリム
bifrost	ビフレスト
ginnungagap	ギンヌンガガプ
embla	エンブラ
wayward	放浪
sherwood	シャーウッド
redwort	アカソウ
bodysuit	ボディスーツ
xmas	クリスマス
lake	湖
hooded	フード付き
bralette	ブラレット
armbelt	アームベルト
gladiator	剣闘士
romper	ロンパース
breastband	ビスチェ
crafting	制作
maroon	えび茶
overlay	オーバーレイ
kneepads	ニーパッド
cuisses	腿当て
gorget	喉当て
ivory	象牙
purple	紫
verdant	深緑
tribal	部族
garter	ガーター
war	戦争
greaves	脛当て
gilded	金メッキ
wristguard	手首当て
sabatons	サバトン
chestplate	胸当て
breeches	半ズボン
tinsel	モール
thigh	太もも
tavern	酒場
tassets	腰当て
rose	バラ
peril	危険
oath	誓い
aether	エーテル
soulcairn	ソウル・ケルン
headband	ヘアバンド
wrist	手首
sleeve	袖
vest	ベスト
briefs	ブリーフ
shawl	ショール
miniskirt	ミニスカート
halloween	ハロウィン
viking	バイキング
devil	悪魔
patchwork	パッチワーク
